title,category,price_gbp,rating,in_stock,price_inr
This One Summer,All products,19.49,4,True,2056.1949999999997
Thirst,All products,17.27,5,True,1821.985
The Torch Is Passed: A Harding Family Story,All products,19.09,1,True,2013.995
The Secret of Dreadwillow Carse,All products,56.13,1,True,5921.715
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",All products,56.41,1,True,5951.254999999999
The Past Never Ends,All products,56.5,4,True,5960.75
The Natural History of Us (The Fine Art of Pretending #2),All products,45.22,3,True,4770.71
The Nameless City (The Nameless City #1),All products,38.16,4,True,4025.8799999999997
The Murder That Never Was (Forensic Instincts #5),All products,54.11,3,True,5708.605
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,All products,42.96,4,True,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",All products,23.89,4,True,2520.395
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,All products,16.77,3,True,1769.235
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",All products,20.59,5,True,2172.245
The Gutsy Girl: Escapades for Your Life of Epic Adventure,All products,37.13,1,True,3917.215
The Electric Pencil: Drawings from Inside State Hospital No. 3,All products,56.06,1,True,5914.33
The Death of Humanity: and the Case for Life,All products,58.11,4,True,6130.605
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",All products,49.05,3,True,5174.775
The Art Forger,All products,40.76,3,True,4300.179999999999
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,All products,19.73,1,True,2081.515
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,All products,32.24,5,True,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,All products,41.83,4,True,4413.065
Soul Reader,All products,39.58,2,True,4175.69
Security,All products,39.25,2,True,4140.875
"Saga, Volume 6 (Saga (Collected Editions) #6)",All products,25.02,3,True,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",All products,51.04,2,True,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,All products,19.83,2,True,2092.0649999999996
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",All products,50.4,3,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",All products,13.61,5,True,1435.855
Princess Between Worlds (Wide-Awake Princess #5),All products,13.34,5,True,1407.37
"Pop Gun War, Volume 1: Gift",All products,18.97,1,True,2001.3349999999998
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",All products,36.28,2,True,3827.54
Patience,All products,10.16,3,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",All products,15.44,4,True,1628.9199999999998
orange: The Complete Collection 1 (orange: The Complete Collection #1),All products,48.41,1,True,5107.254999999999
Online Marketing for Busy Authors: A Step-By-Step Guide,All products,46.35,1,True,4889.925
On a Midnight Clear,All products,14.07,3,True,1484.385
Obsidian (Lux #1),All products,14.86,2,True,1567.73
My Paris Kitchen: Recipes and Stories,All products,33.37,2,True,3520.535
Masks and Shadows,All products,56.4,2,True,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",All products,14.02,4,True,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",All products,46.91,2,True,4949.004999999999
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",All products,45.61,3,True,4811.855
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),All products,19.92,2,True,2101.5600000000004
"Layered: Baking, Building, and Styling Spectacular Cakes",All products,40.11,1,True,4231.605
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),All products,53.9,2,True,5686.45
Join,All products,35.67,5,True,3763.1850000000004
In the Country We Love: My Family Divided,All products,22.0,4,True,2321.0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,All products,57.36,5,True,6051.48
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",All products,29.17,2,True,3077.4350000000004
I am a Hero Omnibus Volume 1,All products,54.63,3,True,5763.465
How to Be Miserable: 40 Strategies You Already Use,All products,46.03,1,True,4856.165
Her Backup Boyfriend (The Sorensen Family #1),All products,33.97,1,True,3583.835
"Giant Days, Vol. 2 (Giant Days #5-8)",All products,22.11,2,True,2332.605
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,All products,29.69,3,True,3132.295
First and First (Five Boroughs #3),All products,15.97,4,True,1684.835
Fifty Shades Darker (Fifty Shades #2),All products,21.96,1,True,2316.78
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,All products,54.35,2,True,5733.925
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",All products,37.97,2,True,4005.835
Danganronpa Volume 1,All products,51.99,4,True,5484.945000000001
Crown of Midnight (Throne of Glass #2),All products,43.29,3,True,4567.095
"Codename Baboushka, Volume 1: The Conclave of Death",All products,36.72,4,True,3873.96
Camp Midnight,All products,17.08,4,True,1801.9399999999998
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,All products,29.14,5,True,3074.27
Burning,All products,28.81,3,True,3039.455
Bossypants,All products,49.46,2,True,5218.03
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",All products,37.92,2,True,4000.5600000000004
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",All products,28.09,2,True,2963.495
Algorithms to Live By: The Computer Science of Human Decisions,All products,30.81,1,True,3250.455
A World of Flavor: Your Gluten Free Passport,All products,42.95,1,True,4531.225
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",All products,56.76,5,True,5988.179999999999
A Murder in Time,All products,16.64,1,True,1755.52
A Flight of Arrows (The Pathfinders #2),All products,55.53,5,True,5858.415
A Fierce and Subtle Poison,All products,28.13,4,True,2967.7149999999997
A Court of Thorns and Roses (A Court of Thorns and Roses #1),All products,52.37,1,True,5525.035
(Un)Qualified: How God Uses Broken People to Do Big Things,All products,54.0,5,True,5697.0
You Are What You Love: The Spiritual Power of Habit,All products,21.87,4,True,2307.2850000000003
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",All products,43.3,4,True,4568.15
Tuesday Nights in 1980,All products,21.04,2,True,2219.72
Tracing Numbers on a Train,All products,41.6,3,True,4388.8
Throne of Glass (Throne of Glass #1),All products,35.07,3,True,3699.885
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,All products,59.64,1,True,6292.02
Thirteen Reasons Why,All products,52.72,1,True,5561.96
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,All products,58.08,4,True,6127.44
The Wedding Dress,All products,24.12,1,True,2544.6600000000003
The Vacationers,All products,42.15,4,True,4446.825
The Third Wave: An Entrepreneurâs Vision of the Future,All products,12.61,5,True,1330.355
The Stranger,All products,17.44,4,True,1839.92
The Shadow Hero (The Shadow Hero),All products,33.14,1,True,3496.27
The Secret (The Secret #1),All products,27.37,4,True,2887.5350000000003
The Regional Office Is Under Attack!,All products,51.36,5,True,5418.48
The Psychopath Test: A Journey Through the Madness Industry,All products,36.0,2,True,3798.0
The Project,All products,10.65,1,True,1123.575
The Power of Now: A Guide to Spiritual Enlightenment,All products,43.54,2,True,4593.47
The Omnivore's Dilemma: A Natural History of Four Meals,All products,38.21,2,True,4031.155
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,All products,37.34,5,True,3939.3700000000003
The Murder of Roger Ackroyd (Hercule Poirot #4),All products,44.1,4,True,4652.55
The Mistake (Off-Campus #2),All products,43.29,3,True,4567.095
The Matchmaker's Playbook (Wingmen Inc. #1),All products,55.85,1,True,5892.175
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,All products,37.6,2,True,3966.8
The Long Shadow of Small Ghosts: Murder and Memory in an American City,All products,10.97,1,True,1157.335
The Kite Runner,All products,41.82,4,True,4412.01
The House by the Lake,All products,36.95,1,True,3898.2250000000004
The Glittering Court (The Glittering Court #1),All products,44.28,1,True,4671.54
The Girl on the Train,All products,55.02,2,True,5804.610000000001
The Genius of Birds,All products,17.24,1,True,1818.82
The Emerald Mystery,All products,23.15,2,True,2442.325
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,All products,41.25,1,True,4351.875
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,All products,32.0,3,True,3376.0
The Artist's Way: A Spiritual Path to Higher Creativity,All products,38.49,5,True,4060.695
The Art of War,All products,33.34,5,True,3517.3700000000003
The Argonauts,All products,10.93,2,True,1153.115
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,All products,27.55,3,True,2906.525
Suddenly in Love (Lake Haven #1),All products,55.99,2,True,5906.945000000001
Something More Than This,All products,16.24,4,True,1713.32
Soft Apocalypse,All products,26.12,2,True,2755.6600000000003
So You've Been Publicly Shamed,All products,12.23,2,True,1290.265
Shoe Dog: A Memoir by the Creator of NIKE,All products,23.99,2,True,2530.9449999999997
"Shobu Samurai, Project Aryoku (#3)",All products,29.06,3,True,3065.83
Secrets and Lace (Fatal Hearts #1),All products,20.27,1,True,2138.485
Scarlett Epstein Hates It Here,All products,43.55,5,True,4594.525
Romero and Juliet: A Tragic Tale of Love and Zombies,All products,36.94,1,True,3897.1699999999996
Redeeming Love,All products,20.47,5,True,2159.585
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,All products,41.06,1,True,4331.83
Poems That Make Grown Women Cry,All products,14.19,4,True,1497.0449999999998
"Nightingale, Sing",All products,38.28,1,True,4038.54
Night Sky with Exit Wounds,All products,41.05,1,True,4330.775
Mrs. Houdini,All products,30.25,5,True,3191.375
Modern Romance,All products,28.26,5,True,2981.4300000000003
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),All products,10.76,1,True,1135.18
Louisa: The Extraordinary Life of Mrs. Adams,All products,16.85,2,True,1777.6750000000002
Little Red,All products,13.47,3,True,1421.085
Library of Souls (Miss Peregrineâs Peculiar Children #3),All products,48.56,5,True,5123.08
Large Print Heart of the Pride,All products,19.15,2,True,2020.3249999999998
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,All products,57.36,4,True,6051.48
Hollow City (Miss Peregrineâs Peculiar Children #2),All products,42.98,1,True,4534.389999999999
Grumbles,All products,22.16,2,True,2337.88
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,All products,49.43,4,True,5214.865
Frostbite (Vampire Academy #2),All products,29.99,5,True,3163.9449999999997
Follow You Home,All products,21.36,1,True,2253.48
First Steps for New Christians (Print Edition),All products,29.0,1,True,3059.5
Finders Keepers (Bill Hodges Trilogy #2),All products,53.53,5,True,5647.415
"Fables, Vol. 1: Legends in Exile (Fables #1)",All products,41.62,4,True,4390.91
Eureka Trivia 6.0,All products,54.59,4,True,5759.245000000001
Drive: The Surprising Truth About What Motivates Us,All products,34.95,4,True,3687.2250000000004
Done Rubbed Out (Reightman & Bailey #1),All products,37.72,5,True,3979.46
Doing It Over (Most Likely To #1),All products,35.61,3,True,3756.855
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",All products,42.16,3,True,4447.879999999999
Dark Notes,All products,19.19,5,True,2024.545
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",All products,19.43,3,True,2049.865
Close to You,All products,49.46,4,True,5218.03
Chasing Heaven: What Dying Taught Me About Living,All products,37.8,2,True,3987.8999999999996
Big Magic: Creative Living Beyond Fear,All products,30.8,3,True,3249.4
Becoming Wise: An Inquiry into the Mystery and Art of Living,All products,27.43,2,True,2893.865
Beauty Restored (Riley Family Legacy Novellas #3),All products,11.11,2,True,1172.105
Batman: The Long Halloween (Batman),All products,36.5,2,True,3850.75
Batman: The Dark Knight Returns (Batman),All products,15.38,5,True,1622.5900000000001
Ayumi's Violin,All products,15.48,2,True,1633.14
Anonymous,All products,46.82,4,True,4939.51
Amy Meets the Saints and Sages,All products,18.46,3,True,1947.5300000000002
Amid the Chaos,All products,36.58,1,True,3859.1899999999996
Amatus,All products,50.54,5,True,5331.97
Agnostic: A Spirited Manifesto,All products,12.51,5,True,1319.805
Zealot: The Life and Times of Jesus of Nazareth,All products,24.7,3,True,2605.85
You (You #1),All products,43.61,5,True,4600.855
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",All products,37.34,4,True,3939.3700000000003
Wild Swans,All products,14.36,2,True,1514.98
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,All products,52.65,4,True,5554.575
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,All products,38.2,4,True,4030.1000000000004
What's It Like in Space?: Stories from Astronauts Who've Been There,All products,19.6,2,True,2067.8
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",All products,53.9,1,True,5686.45
Walt Disney's Alice in Wonderland,All products,12.96,5,True,1367.2800000000002
V for Vendetta (V for Vendetta Complete),All products,37.1,4,True,3914.05
Until Friday Night (The Field Party #1),All products,46.31,2,True,4885.705
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",All products,45.95,2,True,4847.725
Twenty Yawns,All products,22.08,2,True,2329.4399999999996
Through the Woods,All products,25.38,2,True,2677.5899999999997
This Is Where It Ends,All products,27.12,2,True,2861.1600000000003
The Year of Magical Thinking,All products,43.04,2,True,4540.72
The Wright Brothers,All products,56.8,4,True,5992.4
The White Queen (The Cousins' War #1),All products,25.91,5,True,2733.505
The Wedding Pact (The O'Malleys #2),All products,32.61,3,True,3440.355
The Time Keeper,All products,27.88,5,True,2941.3399999999997
The Testament of Mary,All products,52.67,4,True,5556.685
The Star-Touched Queen,All products,46.02,5,True,4855.110000000001
The Songs of the Gods,All products,44.48,5,True,4692.639999999999
The Song of Achilles,All products,37.4,5,True,3945.7
The Rosie Project (Don Tillman #1),All products,54.04,1,True,5701.22
The Power of Habit: Why We Do What We Do in Life and Business,All products,16.88,3,True,1780.84
The Marriage of Opposites,All products,28.08,4,True,2962.4399999999996
The Lucifer Effect: Understanding How Good People Turn Evil,All products,10.4,1,True,1097.2
The Long Haul (Diary of a Wimpy Kid #9),All products,44.07,1,True,4649.385
The Loney,All products,23.4,1,True,2468.7
The Literature Book (Big Ideas Simply Explained),All products,17.43,3,True,1838.865
The Last Mile (Amos Decker #2),All products,54.21,2,True,5719.155
The Immortal Life of Henrietta Lacks,All products,40.67,2,True,4290.685
The Hidden Oracle (The Trials of Apollo #1),All products,52.26,2,True,5513.429999999999
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,All products,28.77,3,True,3035.235
The Guilty (Will Robie #4),All products,13.82,2,True,1458.01
The First Hostage (J.B. Collins #2),All products,25.85,3,True,2727.175
The Dovekeepers,All products,48.78,1,True,5146.29
The Darkest Lie,All products,35.35,5,True,3729.425
The Bane Chronicles (The Bane Chronicles #1-11),All products,44.73,4,True,4719.014999999999
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,All products,15.77,1,True,1663.735
The 14th Colony (Cotton Malone #11),All products,39.24,1,True,4139.820000000001
That Darkness (Gardiner and Renner #1),All products,13.92,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),All products,10.69,1,True,1127.7949999999998
Take Me with You,All products,45.21,3,True,4769.655
Swell: A Year of Waves,All products,45.58,1,True,4808.69
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),All products,11.89,5,True,1254.395
Still Life with Bread Crumbs,All products,26.41,3,True,2786.255
Steve Jobs,All products,39.5,5,True,4167.25
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,All products,44.74,4,True,4720.070000000001
Someone Like You (The Harrisons #2),All products,52.79,5,True,5569.345
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",All products,35.43,4,True,3737.865
Shtum,All products,55.84,4,True,5891.120000000001
See America: A Celebration of Our National Parks & Treasured Sites,All products,48.87,3,True,5155.785
salt.,All products,46.78,4,True,4935.29
Robin War,All products,47.82,3,True,5045.01
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",All products,25.48,2,True,2688.14
Rain Fish,All products,23.57,3,True,2486.635
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",All products,50.89,5,True,5368.895
Pet Sematary,All products,10.56,3,True,1114.0800000000002
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",All products,52.15,3,True,5501.825
Once Was a Time,All products,18.28,2,True,1928.5400000000002
Old School (Diary of a Wimpy Kid #10),All products,11.83,5,True,1248.065
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,All products,21.95,2,True,2315.725
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",All products,38.39,2,True,4050.145
My Name Is Lucy Barton,All products,41.56,1,True,4384.58
My Mrs. Brown,All products,24.48,3,True,2582.64
My Kind of Crazy,All products,40.36,1,True,4257.98
Mr. Mercedes (Bill Hodges Trilogy #1),All products,28.9,1,True,3048.95
More Than Music (Chasing the Dream #1),All products,37.61,2,True,3967.855
Made to Stick: Why Some Ideas Survive and Others Die,All products,38.85,5,True,4098.675
Luis Paints the World,All products,53.95,3,True,5691.725
Luckiest Girl Alive,All products,49.83,3,True,5257.065
Lowriders to the Center of the Earth (Lowriders in Space #2),All products,51.51,2,True,5434.304999999999
Love Is a Mix Tape (Music #1),All products,18.03,1,True,1902.1650000000002
Looking for Lovely: Collecting the Moments that Matter,All products,29.14,5,True,3074.27
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",All products,46.91,4,True,4949.004999999999
Let It Out: A Journey Through Journaling,All products,26.79,5,True,2826.345
Lady Midnight (The Dark Artifices #1),All products,16.28,5,True,1717.5400000000002
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",All products,19.55,1,True,2062.525
Island of Dragons (Unwanteds #7),All products,29.65,1,True,3128.075
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,All products,25.98,4,True,2740.89
I Am Pilgrim (Pilgrim #1),All products,10.6,4,True,1118.3
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",All products,14.75,5,True,1556.125
"Hush, Hush (Hush, Hush #1)",All products,47.02,3,True,4960.610000000001
